question,answer,__index_level_0__
지도 학습과 비지도 학습을 구분짓는 것은 무엇인가요?,"지도 학습은 훈련 데이터에서 알려진 출력값을 기반으로 입력 특성을 통해 출력 또는 응답 변수를 예측하는 과정을 포함합니다. 반면, 비지도 학습은 미리 정의된 출력 변수가 없는 데이터의 구조를 이해하는 데 중점을 두며, 종종 데이터 내에서 패턴이나 그룹을 찾는 데 사용됩니다.",554
'앙상블 학습'이란 기계 학습에서 무엇인가요?,"머신러닝에서 앙상블 학습은 여러 모델을 결합하여 전체 성능을 개선하는 기술로, 종종 단일 모델보다 더 나은 예측 성능을 이끌어냅니다.",354
행렬의 고유값이란 무엇인가요?,"행렬의 고유값은 스칼라 λ로, Av = λv라는 방정식을 만족하는 비영벡터 v가 존재하는 경우를 말합니다. 여기서 A는 행렬이고, v는 λ와 관련된 고유벡터로 알려져 있습니다.",708
두 벡터의 내적을 정의하라.,두 벡터의 내적은 해당 항목의 곱의 합입니다.,647
딥러닝에서 '배치 정규화'란 무엇인가요?,"딥러닝에서 배치 정규화는 신경망의 모든 층에 평균이 0이고 분산이 1인 입력을 제공하는 기술로, 학습 과정을 안정시키고 깊은 네트워크를 훈련하는 데 필요한 에포크 수를 줄이는 데 도움을 줍니다.",380
선형 방정식의 시스템에 대해 항상 고유한 해를 기대할 수 있습니까?,"아니요, 선형 방정식 시스템에 대해 항상 고유한 해를 기대할 수는 없습니다. 시스템에 따라 해가 없을 수도 있고, 고유한 해가 하나일 수도 있으며, 무한히 많은 해가 있을 수도 있습니다.",86
AI와 기계 학습의 맥락에서 지식을 어떻게 바라보아야 할까요?,"AI 및 기계 학습에 대한 지식은 의미론적 트리로 간주되어야 하며, 세부 사항에 들어가기 전에 기본 원칙에 집중해야 합니다.",567
스칼라란 무엇인가요?,"스칼라는 하나의 숫자로, 다수의 숫자로 이루어진 배열인 대수의 다른 요소들과는 대조됩니다.",313
계산 신경과학이란 무엇인가요?,"계산 신경과학은 뇌가 어떻게 작동하는지에 대한 정확한 모델을 구축하는 데 집중하는 분야로, 딥러닝의 목표와는 다릅니다.",302
AAAMLP에서 특정 폴드를 위해 argparse를 사용하여 train.py 스크립트를 실행할 때 폴드 0의 정확도 점수는 무엇인가요?,"train.py 스크립트를 argparse와 함께 실행할 때, fold 0의 정확도 점수는 약 0.8657입니다.",256
AAAMLP의 저자는 모델 개선 사항을 추적하기 위해 무엇을 제안하고 있나요?,저자는 모델의 개선사항을 추적하기 위해 git을 사용할 것을 제안합니다.,260
'다중 레이블 분류(multilabel classification)'란 머신러닝에서 무엇인가요?,기계 학습에서 다중 레이블 분류는 각 인스턴스가 여러 클래스에 동시에 속할 수 있는 분류 유형입니다.,442
딥 러닝이 인공지능의 한 부분으로 여겨지는 이유는 무엇인가요?,"딥 러닝은 머신 러닝의 한 유형으로, 이는 AI 시스템이 경험과 데이터를 통해 개선될 수 있게 해주는 기술입니다.",295
기계 학습에서 '학습률'은 무엇인가요?,"기계 학습에서 학습률은 손실 함수의 최소값으로 이동하는 각 반복에서 단계 크기를 결정하는 하이퍼파라미터로, 훈련 과정의 수렴에 매우 중요합니다.",459
인공지능이 인간의 능력을 초월할 타임라인에 대한 예측은 무엇인가요?,"예측은 다양하며, 일부 전문가들은 AI가 45년 이내에 모든 작업에서 인간을 능가할 수 있다고 믿는 반면, 다른 전문가들은 더 긴 시간이 걸리거나 결코 이루어지지 않을 것이라고 예측합니다.",573
감독 기계 학습의 주요 구성 요소는 무엇인가요?,"구성 요소에는 레이블이 지정된 데이터에서 학습, 회귀, 분류, 학습 모델 매개변수, 과적합 및 정규화가 포함됩니다.",629
기계 학습에서 '다중 클래스 분류'란 무엇인가요?,"머신 러닝에서 다중 클래스 분류는 두 개 이상의 클래스가 있는 문제로, 목표는 인스턴스를 이러한 클래스 중 하나로 분류하는 것입니다.",441
'평균 절대 오차'(MAE)는 머신러닝에서 무엇인가요?,"기계 학습에서 평균 절댓값 오차 (MAE)는 동일한 현상을 표현하는 쌍의 관측값 간의 오차를 측정하는 지표로, 절댓값 오차의 평균으로 계산됩니다.",397
기계 학습에서 선형 회귀란 무엇인가요?,"선형 회귀는 입력 데이터에 기반하여 목표 값을 예측하는 방법으로, 입력 변수와 출력 변수 간에 선형 관계가 있다고 가정합니다.",584
벡터란 무엇인가요?,"벡터는 정렬된 숫자 배열로, 데이터를 저장하거나 함수의 매개변수로 사용할 수 있습니다.",314
기계 학습에서 '순차 모델 구축'이란 무엇인가요?,"기계 학습에서 순차 모델 구축은 모델이 하나씩 연속적으로 구축되는 과정으로, 각 모델은 이전 모델의 성능에 따라 다듬어집니다.",494
디랙 분포란 무엇인가요?,"디락 분포는 확률 분포에서 모든 질량이 단일 점 주변에 집중된다는 것을 명시하는 데 사용되며, 디락 델타 함수로 정의됩니다【25†source】.",78
정상 분포에서 매개변수 β의 역할은 무엇인가요?,"정규 분포의 맥락에서, 파라미터 β는 분포의 정밀도 또는 역분산을 조절하며, 서로 다른 파라미터 값으로 확률 밀도 함수를 자주 평가할 때 계산 효율성을 위해 사용됩니다【25†source】.",80
다층 퍼셉트론(MLP)란 무엇인가요?,"다층 퍼셉트론은 입력 값 집합을 출력 값으로 매핑하는 수학적 함수로, 입력의 새로운 표현을 제공하는 여러 간단한 함수들을 조합하여 형성됩니다.",163
"'Deep Learning' 책에서 Ian Goodfellow, Yoshua Bengio, Aaron Courville의 맥락에서 텐서란 무엇입니까?","책 '딥 러닝'에서 텐서는 가변 축 수를 가진 정규 그리드에 배열된 숫자의 배열로 정의되며, 두 개 이상의 축을 가진 배열이 필요한 경우에 사용됩니다.",40
베이지안 학습에서 교차 엔트로피 위험은 어떻게 정의되나요?,크로스 엔트로피 리스크는 실제 알려지지 않은 함수를 근사화하는 데 사용되는 확률 밀도 함수의 음의 기대 로그로 정의됩니다.,751
감독 학습의 구성 요소는 무엇인가요?,"감독 학습 기계 학습의 구성 요소에는 레이블이 있는 데이터로부터의 학습, 회귀, 분류, 매개변수 학습, 과적합, 그리고 정규화가 포함됩니다.",591
벡터가 선형 독립적이라는 것은 무엇을 의미합니까?,벡터는 집합의 어떤 벡터도 나머지 벡터들의 선형 결합으로 표현될 수 없을 때 선형 독립적이라고 합니다.,642
감독 학습과 인간 학습의 차이점은 무엇인가요?,"감독 학습은 기계가 데이터에서 패턴을 식별하여 휴리스틱을 형성하는 과정이고, 인간의 학습은 생물학적 뇌에서 발생하지만 유사한 목표를 가지고 있습니다.",580
기계 학습에서 '차원 축소'란 무엇인가요?,"기계 학습에서 차원 축소는 데이터셋의 입력 변수를 줄이는 기술을 의미하며, 모델을 단순화하고 계산 비용을 줄입니다.",451
머신러닝에서 검증 세트의 역할은 무엇인가요?,"기계 학습에서 검증 세트는 훈련 중 모델을 평가하는 데 사용되며, 과적합을 방지하고 하이퍼파라미터 조정에 도움을 줍니다.",347
'편향'이 기계 학습의 맥락에서 무엇을 의미합니까?,"기계 학습에서 편향은 학습 알고리즘의 지나치게 단순한 가정으로 인한 오류를 의미하며, 이는 과소적합으로 이어질 수 있습니다.",362
MNIST 데이터셋 예제에서 문자열 타입의 대상을 정수로 변환하는 것의 중요성은 무엇인가요?,문자열 유형의 대상을 정수로 변환하는 것은 중요합니다. 왜냐하면 머신 러닝 모델이 이를 처리하기 위해서는 대상이 숫자 형태여야 하기 때문입니다.,213
통계적 학습에서 점수의 중요성은 무엇인가요?,"점수는 매개변수에 대한 우도( likelihood) 로그의 기울기로, 최대 우도 추정량을 찾는 과정에서 사용됩니다.",736
정상 선형 모델은 무엇을 나타냅니까?,"정상 선형 모델은 정상 오차 항을 가진 선형 모델로, 반응 Y는 p차원 설명 변수 x와 선형 관계를 통해 의존합니다.",727
k-평균 군집화에서 최적의 군집 수를 찾는 도전을 어떻게 해결할 수 있을까요?,"k-평균 클러스터링에서 최적의 클러스터 수는 교차 검증을 사용하여 찾을 수 있으며, 이에 대한 내용은 책의 뒷부분에서 논의됩니다.",16
딥러닝은 AI에서 표현 문제를 어떻게 해결하나요?,딥 러닝은 다른 더 간단한 표현을 통해 표현되는 표현을 도입함으로써 표현 문제를 해결합니다.,292
정규 직교 집합의 개념을 정의하십시오.,정규 직교 집합은 서로 직교하며 각각 길이가 1인 벡터들의 집합입니다.,658
'데이터 불균형'이란 무엇이며 기계 학습에서 어떻게 해결되나요?,"기계 학습에서 데이터 불균형은 각 클래스의 관측치 수가 고르게 분포되지 않는 상황을 나타냅니다. 이는 리샘플링, 합성 샘플 생성 또는 분류 알고리즘 수정과 같은 기술을 사용하여 해결됩니다.",504
통계 학습에서 선형 모델은 무엇을 나타내나요?,통계적 학습에서 선형 모델은 반응 Y가 p차원 설명 변수 x에 선형적으로 의존하는 관계를 나타냅니다.,742
2015년 구글의 인공지능 분야에서의 주목할 만한 성과는 무엇이었나요?,"2015년, 구글은 인간과 설득력 있게 상호작용할 수 있는 대화형 에이전트(인공지능)를 훈련시켜 도덕에 대한 논의, 의견 표현, 사실 질문에 대한 답변을 할 수 있게 되었습니다.",560
분류에서 로지스틱 회귀란 무엇인가요?,"분류에서 로지스틱 회귀는 특정 클래스에 속할 목표 변수가 가질 확률을 예측합니다. 예를 들어, 대출이 사기일 가능성을 추정하는 것입니다.",593
딥 러닝 모델의 첫 번째 숨겨진 층은 일반적으로 픽셀에서 어떤 특징을 인식할 수 있나요?,주어진 픽셀을 통해 첫 번째 은닉층은 이웃 픽셀의 밝기를 비교하여 쉽게 가장자리를 식별할 수 있습니다.,151
기계 학습에서 '데이터 분할'이란 무엇인가요?,"기계 학습에서 데이터 분할은 데이터셋을 별개의 세트로 나누는 과정을 말하며, 이는 모델 과적합과 같은 문제를 방지하고 모델 성능의 보다 정확한 평가를 제공하기 위함입니다.",509
머신 러닝에서 '데이터 대체(data imputation)'란 무엇인가요?,기계 학습에서 데이터 대체(data imputation)란 누락된 데이터를 대체 값으로 교체하는 과정을 의미합니다.,373
"argparse로 스크립트를 개선한 후, AAAMLP에 따라 특정 폴드를 위해 train.py 스크립트를 어떻게 실행할 수 있나요?","특정 폴드에 대해 train.py 스크립트를 실행하려면 'python train.py --fold 0' 명령을 사용하고, '0'을 원하는 폴드 번호로 바꾸십시오.",251
'결정 경계'는 머신러닝에서 무엇인가요?,기계 학습에서 결정 경계는 서로 다른 예측 클래스들을 구분하는 표면입니다. 결정 경계는 분류기의 출력 레이블이 불분명한 문제 공간의 영역입니다.,436
머신러닝에서 '데이터 누수'란 무엇인가요?,"기계 학습에서 데이터 누출은 훈련 데이터셋 외부의 정보가 모델을 생성하는 데 사용될 때 발생하며, 이로 인해 모델이 훈련 데이터에서 비정상적으로 좋은 성능을 보이게 됩니다.",438
감독 학습 기계 학습은 인간 학습과 어떻게 다릅니까?,"감독 학습(machine learning)은 컴퓨터 하드웨어를 사용하여 데이터에서 패턴을 식별하는 반면, 인간 학습은 생물학적 뇌에서 이루어진다.",618
통계 학습의 맥락에서 지수 모델은 어떻게 사용되나요?,"지수 모델에서, 데이터의 가능성을 극대화하기 위해 지수 분포 계열에서 가장 잘 근사하는 함수가 선택됩니다.",745
AI는 법 집행 및 우주 탐사에 어떻게 사용됩니까?,"AI는 법 집행에서 바디 카메라 영상을 처리하는 데 사용되며, 화성 탐사선 큐리오시티는 자율적으로 토양과 암석 샘플을 선택하는 데 사용됩니다.",565
비지도 기계 학습에 일반적으로 사용되는 데이터셋의 예는 무엇인가요?,고객 세분화 및 신용 카드 사기 탐지를 위한 데이터 세트는 비지도 기계 학습 데이터 세트의 일반적인 예입니다.,202
저자는 MNIST 데이터셋에서 t-SNE 분해를 위해 어떤 라이브러리를 사용했나요?,"저자는 matplotlib, seaborn, numpy, pandas, 및 scikit-learn을 사용했습니다.",12
행렬의 전치란 무엇인가요?,행렬의 전치(transpose)는 주대각선(main diagonal)이라고 불리는 대각선을 기준으로 행렬의 거울상입니다.,317
확률 분포의 분산은 무엇을 측정합니까?,확률 분포의 분산은 무작위 변수의 함수의 값이 그 변수가 확률 분포에서 샘플링될 때 기대값과 얼마나 다른지를 측정합니다【25†source】.,70
벡터의 스칼라 곱을 정의하라.,벡터의 스칼라 곱셈은 벡터에 스칼라를 곱하여 그 크기를 조정하는 연산입니다.,698
conda 리포지토리에 일부 패키지가 없을 경우 어떻게 해야 하나요?,"일부 패키지가 conda 저장소에 없을 경우, 책에 따르면 가장 선호되는 방법인 pip를 사용하여 설치해야 합니다.",230
감독 학습에서 회귀와 분류의 예는 무엇인가요?,"지도 학습에서 회귀는 주택 가격을 예측할 수 있으며, 분류는 이미지가 고양이인지 개인지 판별할 수 있습니다.",581
딥러닝 모델의 '숨겨진 층'은 어떤 역할을 하나요?,딥러닝 모델의 숨겨진 층은 입력 데이터로부터 점점 더 추상적인 특징을 추출합니다.,149
기계 학습에서 데이터 표현의 중요성은 무엇인가요?,"데이터의 표현은 기계 학습에서 매우 중요하며, 알고리즘의 성능에 큰 영향을 미칩니다. 효과적인 표현은 AI 작업을 해결하는 데 핵심이며, 이는 특정 문제에 따라 다릅니다.",517
행렬의 고유벡터를 정의하시오.,행렬의 고유벡터는 해당 행렬이 적용될 때 스칼라 인자에 의해서만 변하는 0이 아닌 벡터입니다.,651
기계 학습에서 '의사 결정 나무'란 무엇입니까?,"기계 학습에서 결정 트리는 내부 노드가 특성을 나타내고, 가지가 결정 규칙을 나타내며, 각 리프 노드가 결과를 나타내는 플로우차트와 같은 트리 구조입니다.",361
지도 문제는 목표 변수의 성격에 따라 어떻게 나눌 수 있나요?,"• 분류: 카테고리 예측 (예: 개 또는 고양이).  
• 회귀: 값 예측 (예: 주택 가격).",6
모든 것을 올바르게 설치한 후에는 어떻게 conda 환경을 시작하나요?,"모든 설치가 제대로 이루어진 후, 터미널에 conda init을 입력하여 conda 환경을 시작할 수 있습니다.",236
오토인코더란 무엇인가요?,오토인코더는 입력 데이터를 다른 표현으로 변환하는 인코더 기능과 이 새로운 표현을 원래 형식으로 다시 변환하는 디코더 기능의 조합입니다.,161
베이지안 학습에서 지수 모델은 어떻게 사용되나요?,지수 모델에서는 지수 분포 가족 내에서 데이터의 우도를 최대화하는 최적의 근사 함수를 선택합니다.,737
한계 확률 분포란 무엇인가요?,"한계 확률 분포는 변수 집합에 대한 전체 확률 분포가 알려진 상태에서, 변수의 부분 집합에 대한 확률 분포입니다. 이는 이산 변수의 경우 합의 법칙을 사용하거나 연속 변수의 경우 적분을 통해 계산할 수 있습니다【25†source】.",64
딥 러닝 모델에서 '가시 레이어'란 무엇인가요?,"딥러닝 모델의 가시적 레이어는 우리가 관찰할 수 있는 변수들로 구성되어 있으며, 일반적으로 원시 입력 데이터가 포함됩니다.",148
기계 학습이란 무엇인가요?,기계 학습은 AI 시스템이 원시 데이터에서 패턴을 추출하고 결정을 내림으로써 스스로 지식을 습득하는 능력입니다.,286
심층 학습 방법에서 깊이가 성능을 향상시키는 방법은 무엇인가요?,"깊이는 시스템이 더 많은 순차적 명령을 실행할 수 있게 하며, 각각의 명령은 이전 명령의 결과를 참조할 수 있어 더 많은 계산 성능을 제공합니다.",169
AI가 인간의 능력을 초월할 것이라는 예측은 무엇인가요?,"예측은 다양하며, 일부 전문가들은 인공지능이 45년 이내에 모든 작업에서 인간보다 뛰어날 수 있다고 제안하고 있습니다.",611
하이퍼파라미터 튜닝 맥락에서 '그리드 서치'란 무엇인가요?,"하이퍼파라미터 조정에서 그리드 서치는 일정한 하이퍼파라미터 집합을 체계적으로 탐색하는 방법으로, 각 조합을 평가하여 최상의 성능을 결정합니다.",359
감독 학습 문제의 예를 들어주실 수 있나요?,"역사적 데이터와 다양한 기능을 고려하여 주택 가격을 예측하거나, 사전에 올바른 레이블을 알고 고양이와 개의 이미지를 분류하는 것입니다.",4
다중 누리 분포란 무엇인가요?,"멀티누리(또는 범주형) 분포는 유한한 개수의 상태를 가진 단일 이산 변수에 대한 분포로, 각 상태의 확률을 나타내는 벡터로 매개변수화됩니다【25†source】.",73
기계 학습에서 'GANs' (생성 적대 신경망)는 무엇인가요?,"GANs(생성적 적대 신경망)은 기계 학습에서 사용되는 비지도 학습의 인공지능 알고리즘 클래스이며, 두 개의 신경망이 제로섬 게임 구조에서 서로 경쟁하는 시스템으로 구현됩니다.",444
AI는 법 집행과 화성에서 어떻게 활용되고 있습니까?,"AI는 법 집행에서 바디 카메라 영상을 처리하는 데 사용되며, 화성 탐사 로버는 자율적으로 토양 및 암석 샘플을 선택하는 데 사용됩니다.",604
'강화 학습'은 기계 학습에서 무엇인가요?,"기계 학습에서 강화 학습은 보상과 처벌 시스템을 사용하여 알고리즘을 훈련시키는 동적 프로그래밍의 일종으로, 일련의 결정을 내리는 데 집중합니다.",473
공분산과 독립성의 차이는 무엇인가요?,"공분산은 두 값이 서로 얼마나 선형적으로 관련되어 있는지를 측정하는 반면, 독립성은 두 변수 간의 비선형 관계를 포함한 모든 형태의 관계를 배제하는 더 강한 요구 사항입니다【25†source】.",68
'딥러닝'은 기계 학습에서 무엇인가요?,"딥 러닝은 다층 신경망을 포함하는 기계 학습의 하위 집합으로, 복잡하고 정교한 데이터 모델링 및 분석을 가능하게 합니다.",351
머신러닝에서 '조기 중단'이란 무엇인가요?,"기계 학습에서 조기 중단은 경량화 방법의 일종으로, 경량화 방법인 경량 하강법(gradient descent)과 같은 반복적인 방법으로 학습자를 훈련할 때 과적합을 피하는 데 사용됩니다.",437
저자는 MNIST 데이터셋을 사용하여 무엇을 입증했습니까?,저자는 t-SNE를 사용하여 감독된 데이터셋을 비감독 설정으로 변환하는 방법을 시연했습니다.,11
OpenAI는 2017년에 어떤 주목할 만한 성과를 달성했나요?,OpenAI는 협력을 위해 자체 언어를 개발한 에이전트를 만들어 Dota 2의 1대1 경기에서 최고의 전문가들을 이겼습니다.,562
최대 우도 추정값이란 무엇입니까?,"최대 우도 추정치는 데이터의 우도를 극대화하는 매개변수로, 이는 데이터의 결합 밀도를 해당 지점에서 평가한 값입니다.",750
매크로 평균 정밀도란 무엇인가요?,매크로 평균 정밀도는 모든 클래스에 대해 개별적으로 정밀도를 계산한 다음 이를 평균 내어 산출됩니다【39†source】.,262
머신러닝에서 '특징 스케일링'이란 무엇인가요?,머신러닝에서 특성 스케일링은 독립 변수 또는 데이터의 특성 범위를 정규화하는 데 사용되는 방법입니다.,376
벡터 덧셈의 개념을 설명하세요.,"벡터 덧셈은 두 벡터를 더하는 연산으로, 해당 구성 요소를 서로 더하는 것입니다.",700
중심극한정리와 정규분포의 관계는 무엇인가요?,중심 극한 정리는 많은 독립적인 확률 변수의 합이 원래 변수들이 정규 분포를 따르지 않더라도 정규 분포에 수렴한다는 것을 나타냅니다. 이러한 이유로 많은 실용적인 시스템이 성공적으로 정규 분포 잡음으로 모델링될 수 있습니다.,82
다중 클래스 분류 설정에서 매크로 정밀도는 어떻게 계산되나요?,"매크로 정밀도는 현재 클래스를 제외한 모든 클래스를 부정 클래스로 간주한 후, 각 클래스에 대해 개별적으로 진양성(true positive)과 위양성(false positive)을 계산하고, 마지막으로 이 정밀도를 모든 클래스에 걸쳐 평균하여 계산됩니다【42†source】.",263
accuracy_score_v2 함수는 어떻게 계산되나요?,"accuracy_score_v2 함수는 (TP + TN) / (TP + TN + FP + FN) 공식을 사용하여 계산됩니다. 여기서 TP는 진양성(true positives), TN은 진음성(true negatives), FP는 위양성(false positives), FN은 위음성(false negatives)을 의미합니다【31†source】.",179
편향-분산 거래(tradeoff)란 무엇인가요?,바이어스-분산 균형은 모델의 과도한 단순화로 인한 오차(바이어스)와 학습 데이터 민감도로 인한 오차(분산) 간의 균형을 맞추는 것을 포함합니다.,627
두 행렬의 표준 곱과 요소별 곱의 차이는 무엇인가요?,"두 행렬의 표준 곱은 행과 열을 포함하는 특정 연산을 통해 새로운 행렬을 생성하는 반면, 원소별 곱 또는 하다마르 곱은 두 행렬의 개별 원소들의 곱에 불과합니다.",45
기계 학습에서 '특징 추출'이란 무엇인가요?,기계 학습에서 특징 추출은 대량의 데이터를 정확하게 설명하는 데 필요한 자원의 수를 줄이는 과정입니다.,431
기계 학습에서 비지도 학습이란 무엇인가요?,비지도 학습은 알고리즘이 태그가 없는 데이터에서 패턴을 스스로 학습하는 머신 러닝의 한 종류입니다.,342
신경과학은 딥 러닝에서 어떤 역할을 하나요?,"신경 과학은 딥 러닝에 영감을 주며 모델과 아키텍처를 제안하지만, 엄격한 지침은 아닙니다.",297
