Question,Answer
"""기계에 주입된 목적이 우리가 진정으로 원하는 목적이 되도록 보장하라고 경고하는 사람은 누구인가요?""",노버트 위너.
"""How"" translates to ""어떻게"" in Korean.",더 나은
킹 미다스 문제는 우리에게 어떤 영감을 줍니까?,우리는 기계에 잘못된 목적을 넣을 가능성을 받아들여야 합니다.
"""합리적이라는 정의는 무엇에 따라 달라질 수 있는가?""",성공의 기준을 정의하는 성과 측정 기준; 에이전트의 환경에 대한 사전 지식; 에이전트가 수행할 수 있는 행동; 현재까지의 에이전트의 지각 순서.
전지전능함과 합리성의 차이는 무엇인가요?,"전지전능한 행위자는 자신의 행동의 실제 결과를 알고 그에 따라 행동할 수 있지만, 현실에서는 전지전능함이 불가능하다."
합리성과 완벽성 사이의 관계는 무엇인가요?,합리성은 기대 성과를 극대화합니다.
정보 수집이란 무엇을 의미하나요?,미래의 인식을 수정하기 위해 행동을 하는 것.
우리가 어떻게 대리인이 자율성이 부족하다고 말할까요?,대리인은 자신의 지각과 학습 과정보다는 설계자의 이전 지식에 의존합니다.
자율적인 합리적 에이전트는 무엇을 하나요?,부분적이거나 잘못된 이전 지식을 보완하기 위해 무엇을 배울 수 있는지 배워야 합니다.
"""작업 환경이란 무엇인가요?""","그들은 본질적으로 합리적인 행위자들이 ""해결책""이 되는 ""문제""들입니다."
PEAS 설명이란 무엇인가요?,"""성능 측정 기준을 지정하십시오."""
우리가 할 수 있는 것은 AI에서 발생할 수 있는 작업 환경의 범위가 명백히 방대하다는 것입니다.,우리는 작업 환경을 범주화할 수 있는 상당히 적은 수의 차원을 식별할 수 있습니다.
작업 환경에서 어떤 차원을 식별할 수 있을까요?,전적으로 관찰 가능 vs. 부분적으로 관찰 가능; 단일 에이전트 vs. 다중 에이전트; 결정적 vs. 비결정적; 단 episodic vs. 순차적; 정적 vs. 동적; 이산 vs. 연속; 알려진 vs. 알려지지 않은
작업 환경이 완전히 관찰 가능하다고 말할 수 있는 기준은 무엇인가요?,대리인의 센서는 각 시점에서 환경의 전체 상태에 대한 접근을 제공합니다.
작업 환경이 결정론적이라고 말할 수 있는 방법은 무엇인가요?,환경의 다음 상태는 현재 상태와 에이전트가 수행한 행동에 의해 완전히 결정됩니다.
어떤 작업 환경이 에이전트가 불확실성을 걱정할 필요가 없게 만드나요?,완전히 관찰 가능하고 결정론적인.
확률적(stochastic)과 비결정론적(nondeterministic)의 차이는 무엇인가요?,"""우리가 환경 모델이 확률을 명시적으로 다룬다면 이를 확률론적이라고 말합니다 (예:"
작업 환경이 에피소딕하다고 말할 수 있는 기준은 무엇인가요?,"""에이전트의 경험은 원자적 에피소드로 나뉩니다."""
작업 환경이 순차적이라고 어떻게 말할 수 있나요?,현재 에이전트의 결정은 모든 미래 결정에 영향을 미칠 수 있다.
에피소드적 및 순차적 작업 환경의 예는 무엇인가요?,"많은 분류 작업은 에피소드 방식이며, 체스와 택시 운전은 순차적입니다."
에피소드 환경이 순차적 환경보다 훨씬 간단한 이유는 무엇인가요?,대리는 앞으로 생각할 필요가 없습니다.
그 에이전트의 작업 환경이 역동적이라고 어떻게 말할 수 있을까요?,환경은 에이전트가 숙고하는 동안 변할 수 있습니다.
우리가 그 에이전트에게 작업 환경이 정적이라고 말할 수 있는 이유는 무엇인가요?,환경은 에이전트가 숙고하는 동안 변경될 수 없습니다.
정적 작업 환경이 다루기 쉬운 이유는 무엇인가요?,"""대리는 행동을 결정하는 동안 세계를 계속 바라볼 필요가 없다."""
작업 환경이 반동적이라고 할 수 있는 방법은 무엇인가요?,"환경 자체는 시간의 흐름에 따라 변하지 않지만, 행위자의 성과 점수는 변합니다."
"""다이나믹의 예는 무엇인가요?""","""반동적 및 정적 작업 환경?"""
불연속 작업 환경과 연속 작업 환경의 차이점은 무엇인가요?,"""환경 상태"""
불연속 및 연속 작업 환경의 예는 무엇인가요?,체스는 유한한 수의 고유한 상태를 가집니다 (시계를 제외하고).
알려진 / 알려지지 않은 작업 환경은 무엇을 의미하나요?,대리인(또는 디자이너)의 환경에 대한 “물리 법칙”에 대한 지식 상태.
작업 환경이 알려져 있다고 어떻게 말할 수 있을까요?,모든 행동에 대한 결과(혹은 환경이 비결정론적일 경우 결과 확률)가 제공됩니다.
작업 환경이 알 수 없다고 할 수 있는 이유는 무엇인가요?,대리인은 올바른 결정을 내리기 위해 그것이 어떻게 작동하는지 배워야 합니다.
부분적으로 관찰 가능하고 알려진 작업 환경의 예는 무엇인가요?,"""솔리테어 카드 게임에서"""
완전히 관찰 가능하지만 알려지지 않은 작업 환경의 예는 무엇인가요?,"""새로운 비디오 게임에서"""
어떤 종류의 작업 환경이 가장 어려운 사례여야 할까요?,"""부분적으로 관찰 가능한"""
에이전트 함수란 무엇인가요?,지각에서 행동으로의 매핑.
에이전트 아키텍처란 무엇인가요?,프로그램은 물리적 센서와 액추에이터가 있는 어떤 종류의 컴퓨팅 장치에서 실행될 것입니다.
아키텍처가 프로그램에 미치는 영향은 무엇인가요?,"""일반적으로"""
지능형 시스템의 거의 모든 원리를 담고 있는 네 가지 기본적인 에이전트 프로그램은 무엇입니까?,간단한 반사 에이전트; 모델 기반 반사 에이전트; 목표 기반 에이전트; 그리고 효용 기반 에이전트.
간단한 반사 에이전트는 무엇을 하나요?,"""이 에이전트들은 현재 지각에 따라 행동을 선택합니다."""
조건-행동 규칙은 무엇과 유사한가요?,"If-then statements을 한국어로 번역하면 ""조건문""입니다."
간단한 반사 에이전트를 위한 보다 일반적이고 유연한 접근 방식은 무엇인가요?,"첫째, 조건-행동 규칙을 위한 일반 목적 해석기를 구축한 후, 특정 작업 환경을 위한 규칙 집합을 생성합니다."
간단한 반사 에이전트가 무한 루프에서 어떻게 벗어날 수 있나요?,그 에이전트는 자신의 행동을 무작위로 설정할 수 있습니다.
간단한 반사 에이전트가 행동을 무작위화하는 대신 어떤 것이 더 나을까요?,보다 정교한 결정론적 에이전트.
에이전트를 위한 부분 관측성을 처리하는 가장 효과적인 방법은 무엇인가요?,"대리인은 지각 기록에 의존하는 일종의 내부 상태를 유지해야 하며, 이를 통해 현재 상태의 관찰되지 않은 측면 중 일부를 반영해야 합니다."
모델 기반 반사 에이전트의 내부 상태 정보를 시간이 지남에 따라 업데이트하기 위해서 어떤 종류의 지식이 필요합니까?,"The translation of ""First"" to Korean is ""첫째"" (cheotjae)."
모델 기반 반사 에이전트에서 시간이 지남에 따라 세계가 어떻게 변화하는지에 대한 정보는 어떻게 나눌 수 있나요?,대리인의 행동의 결과와 세계가 대리인과 독립적으로 어떻게 발전하는지.
“세상이 어떻게 작동하는지에 대한 지식”은 무엇이라고 부르나요?,세계의 전환 모델.
모델 기반 반사 에이전트에서 센서 모델이란 무엇인가요?,"""일종의 지식"""
모델 기반 반사 에이전트의 정의는 무엇인가요?,전이 모델과 센서 모델을 사용하는 에이전트.
모델 기반 반사 에이전트에서 전이 모델과 센서 모델은 어떻게 기능합니까?,세계 상태를 추적할 수 있도록 에이전트를 허용하다.
모델 기반 반사 에이전트 구조의 어떤 부분이 흥미로운가요?,새로운 내부 상태 설명을 생성하는 책임이 있는 함수.
모델 기반 반사 에이전트가 현재 세계를 아는 것은 실제로 무엇인가요?,"""이는 에이전트의 '최선의 추측'을 나타냅니다."""
목표 정보가 에이전트에게 어떤 영향을 미치나요?,이것은 바람직한 상황을 설명합니다.
목표 기반 에이전트가 어떻게 더 유연해 보이나요?,효율성이 떨어져 보일 수 있습니다.
경제학자와 컴퓨터 과학자들이 왜 대신 '효용'(utility)이라는 용어를 사용하는가?,"""그것은 '행복'과 같은 단어보다 더 과학적으로 들리기 때문입니다."""
내부 유틸리티 함수와 외부 성과 측정치가 일치할 경우 어떤 일이 발생할까요?,행동을 선택하여 자신의 효용을 극대화하는 에이전트는 외부 성과 측정 기준에 따라 합리적일 것입니다.
상충하는 목표가 있을 때 유틸리티 함수는 어떤 역할을 하는가?,적절한 상충 관계를 명시합니다.
"여러 목표가 있을 때, 유틸리티 함수는 어떻게 작용하나요?",이것은 성공 가능성을 목표의 중요성과 비교할 수 있는 방법을 제공합니다.
합리적인 효용 기반 에이전트에 대해 기술적으로 어떻게 말할 수 있을까요?,"""행동 결과의 기대 효용을 극대화하는 행동을 선택합니다. 즉,"""
에이전트가 명시적인 효용 함수를 가지게 되면 어떤 일이 발생할까요?,특정 효용 함수를 최대화하는 데 의존하지 않는 범용 알고리즘으로 합리적인 결정을 내릴 수 있습니다.
유틸리티 기반 함수에서 어려운 점은 무엇인가요?,"유틸리티 기반 에이전트는 자신의 환경을 모델링하고 추적해야 하며, 유틸리티를 최대화하는 행동 경로를 선택해야 합니다."
에이전트가 학습하는 장점은 무엇인가요?,"그것은 에이전트가 처음에는 알 수 없는 환경에서 작동할 수 있게 해주며, 초기에 가진 지식만으로는 가능하지 않았던 더 높은 능력을 갖추게 합니다."
학습 에이전트의 개념적 구성 요소는 무엇인가요?,학습 요소; 수행 요소; 비평가; 문제 생성기.
학습 에이전트 구성 요소에서 학습 요소는 어떤 역할을 하나요?,개선을 담당하고 있습니다.
학습 에이전트의 구성 요소에서 성능 요소는 무엇을 합니까?,외부 행동을 선택하는 책임이 있습니다.
학습 에이전트의 구성 요소에서 비평가는 어떤 역할을 하나요?,비평가는 학습 요소에게 에이전트가 고정된 성능 기준에 대해 얼마나 잘하고 있는지를 알려줍니다.
"우리가 특정 기능을 배우는 에이전트를 설계하려고 할 때, 어떻게 생각해야 할까요?","첫 번째 질문은 “어떻게 이걸 학습하게 할 것인가?”가 아니라 “내 에이전트가 이를 학습한 후, 어떤 성능 요소를 사용하여 이를 수행할 것인가?”입니다."
비평가가 학습 에이전트에게 왜 필요한가?,지각 자체는 행위자의 성공을 나타내는 어떤 징후도 제공하지 않는다.
학습 에이전트의 구성 요소에서 문제 생성기는 무엇을 합니까?,새롭고 유익한 경험으로 이어질 행동을 제안하는 책임이 있습니다.
대리가 조금 탐험하고 단기적으로는 다소 비최적적인 행동을 하기로 한다면 무슨 일이 일어날까요?,장기적으로 훨씬 더 나은 행동을 발견할 수 있을지도 모릅니다.
반사 구성 요소나 유틸리티 함수를 배우려 할 때 필요한 것은 무엇인가요?,외부 표준으로부터의 정보.
성능 기준은 들어오는 인식의 일부를 무엇으로 구분합니까?,행동의 품질에 대한 직접적인 피드백을 제공하는 보상이나 처벌.
작업 환경의 표현력을 기준으로 표현들을 어떻게 순위 매길 수 있을까요?,"""Atomic"" in Korean is ""원자"" (wonja)."
"""내 행동이 어떤 결과를 가져오는지""를 다루는 특정 에이전트 구성 요소는 무엇을 하나요?","""이것은 어떤 행동의 결과로 환경에서 발생할 수 있는 변화에 대해 설명합니다."""
원자적 표현에서 어떤 일이 일어납니다?,세계의 각 상태는 분리할 수 없다—내부 구조가 없다.
원자 표현으로 작업하는 분야의 예시는 무엇인가요?,"""검색 및 게임 플레이"""
팩터화된 표현은 무엇을 하나요?,"""각 상태를 고정된 변수 또는 속성 집합으로 나누어 줍니다."""
팩터 표현 방식으로 작업하는 분야의 예시는 무엇인가요?,"""제약 만족 알고리즘"""
구조화된 표현에서는 어떤 일이 일어날까요?,물체와 그들의 다양한 관계는 명시적으로 설명할 수 있습니다.
구조화된 표현이 필요할 때는 언제인가요?,"""우리가 세계를 서로 관련된 것들이 있는 것으로 이해해야 할 때"""
구조화된 표현으로 작업하는 분야의 예는 무엇입니까?,"""관계형 데이터베이스와 1차 논리"""
행위자의 환경 표현의 스펙트럼이 변화함에 따라 추론과 학습은 어떻게 변화하는가?,표현의 힘이 증가함에 따라 추론과 학습은 더욱 복잡해진다.
우리가 에이전트 환경의 표현적인 표현에서 이점을 얻으면서 그 단점을 피하려면 어떻게 해야 할까요?,실제 세계를 위한 지능형 시스템은 축을 따라 모든 지점에서 동시에 작동해야 할 필요가 있을 수 있습니다.
로컬리스트 표현에서 어떤 일이 일어납니까?,개념과 메모리 위치 사이에는 일대일 대응이 있습니다.
분산 표현에서 무슨 일이 발생하나요?,"""개념의 표현은 여러 메모리 위치에 퍼져 있다."""
"""어떤 표현이 소음과 정보 손실에 대해 더 강력한가?""","""지역적인 것인가, 분산된 것인가?"""
지역 표현을 사용할 때 어떤 나쁜 상황이 발생할 수 있을까요?,"""개념에서 메모리 위치로의 매핑은 임의적입니다."""
문제 해결 에이전트의 정의는 무엇인가요?,미리 계획해야 하는 에이전트: 목표 상태로 가는 경로를 형성하는 일련의 행동을 고려해야 합니다.
검색의 정의는 무엇인가요?,문제를 해결하는 에이전트가 수행하는 계산 과정.
문제 해결 에이전트는 어떤 표현을 사용합니까?,원자 표현.
정보가 제공된 알고리즘은 어떻게 되나요?,대리는 목표까지 얼마나 먼지를 추정할 수 있습니다.
알고리즘이 정보 부족으로 어떻게 되는가?,대리인은 목표까지의 거리를 추정할 수 없습니다.
네 단계 문제 해결 과정은 무엇인가요?,목표 설정; 문제 정의; 탐색; 실행.
목표 수립 단계에서 에이전트는 무엇을 하나요?,대리인은 작업의 목표를 채택한다.
목표가 에이전트의 목표 형성 단계에서 어떻게 작용하나요?,목표는 고려해야 할 행동과 목표를 제한함으로써 행동을 조직화합니다.
문제 정의 단계에서 에이전트는 무엇을 하나요?,대리는 목표에 도달하기 위해 필요한 상태와 행동에 대한 설명을 구상합니다. 이는 세계의 관련 부분에 대한 추상적인 모델입니다.
에이전트가 탐색 단계에서 무엇을 하나요?,"""현실 세계에서 어떤 행동을 취하기 전에"""
문제 해결 에이전트의 솔루션 정의는 무엇인가요?,목표에 도달하는 일련의 행동.
실행 단계에서 에이전트는 무엇을 하나요?,"""에이전트는 해결책에 있는 행동을 실행합니다."""
"""완전 관측 가능한 상태에서의 해결책은 어떻게 됩니까?""",결정론적인
제어 이론가들이 말하는 개방 루프 시스템은 무엇인가요?,지각을 무시하는 시스템은 에이전트와 환경 간의 루프를 끊는다.
"""문제 해결 에이전트에게 더 안전한 루프는 어느 것인가요?""","""개방 루프인지 폐쇄 루프인지?"""
부분 가시적이거나 비결정적인 환경에서의 해결 방법은 어떤가요?,해결책은 도착하는 지각(percepts)에 따라 다양한 미래 행동을 추천하는 분기 전략이 될 것입니다.
상태 공간의 정의는 무엇인가요?,환경이 있을 수 있는 가능한 상태의 집합입니다.
초기 상태의 정의는 무엇인가요?,대리인이 시작하는 상태.
목표 상태의 정의는 무엇인가요?,대상이 목표로 삼는 상태 집합.
문제 해결 에이전트의 전이 모델 정의는 무엇인가요?,각 행동이 수행하는 일을 설명하는 모델.
행동 비용 함수의 정의는 무엇인가요?,함수는 에이전트의 자체 성과 측정을 반영합니다.
"""검색 '문제'의 정의는 무엇인가요?""","""상태 공간의 조합"""
최적 해의 정의는 무엇인가요?,가장 낮은 경로 비용을 갖는 솔루션.
모델의 가능한 의미는 무엇인가요?,"""추상적인 수학적 설명"""
추상화의 정의는 무엇입니까?,표현에서 세부 사항을 제거하는 과정.
추상화가 좋다고 말할 수 있는 기준은 무엇인가요?,가능한 한 많은 세부 사항을 제거하면서 유효성을 유지하고 추상적인 행동이 쉽게 수행될 수 있도록 하는 것이 포함됩니다.
유용한 추상화를 구성할 능력이 없다면 어떤 일이 발생할까요?,지능형 에이전트는 현실 세계에 의해 완전히 압도당할 것이다.
표준화된 문제의 정의는 무엇인가요?,다양한 문제 해결 방법을 설명하거나 연습하기 위한 것입니다.
연구자들은 표준화된 문제를 어떻게 활용할 수 있을까요?,표준화된 문제는 연구자들이 알고리즘의 성능을 비교할 수 있는 기준으로 적합합니다.
실제 문제의 정의는 무엇인가요?,"""사람들이 실제로 사용하는 해를 가진 것입니다."""
그리드 월드 문제란 무엇인가요?,이는 에이전트가 셀에서 셀로 이동할 수 있는 정사각형 셀로 이루어진 2차원 직사각형 배열입니다.
그리드 월드 문제에서 에이전트가 셀의 객체에 대해 할 수 있는 일은 무엇인가요?,"""셀에는 객체를 포함할 수 있습니다."""
그리드 월드 문제에서 벽이나 통과할 수 없는 장애물은 무엇을 의미하나요?,그 셀에 있는 것들은 에이전트가 해당 셀로 이동하는 것을 방지합니다.
그리드 월드 문제의 예는 무엇인가요?,소코바ن 퍼즐.
소코반 퍼즐은 무엇인가요?,"""요원의 목표가 여러 개의 상자를 밀어내는 것이라는 것은 수수께끼입니다."""
슬라이딩 타일 퍼즐이란 무엇인가요?,다수의 타일(때때로 블록 또는 조각이라고도 불림)이 그리드에 배열되고 하나 이상의 빈 공간이 있어 일부 타일이 빈 공간으로 미끄러질 수 있는 퍼즐입니다.
투어링 문제란 무엇인가요?,"""방문해야 할 장소 집합을 설명하는 문제입니다."""
여행 판매원 문제(TSP)란 무엇인가요?,모든 도시를 방문해야 하는 투어링 문제입니다.
VLSI 레이아웃 문제는 무엇을 필요로 하나요?,수백만 개의 구성 요소와 연결을 칩에 배치해야 합니다.
VLSI 레이아웃 문제는 무엇을 목표로 하나요?,"""영역을 최소화하는 것을 목표로 합니다."""
VLSI 레이아웃 문제는 어떻게 분할됩니까?,두 부분으로 나뉩니다: 셀 레이아웃과 채널 라우팅.
로봇 내비게이션과 특정 경로를 따르는 것의 차이는 무엇인가요?,로봇이 돌아다닐 수 있습니다.
실제 로봇이 로봇 내비게이션에서 해결해야 하는 문제는 무엇인가요?,"""그들의 센서 측정값과 모터 제어"""
복잡한 물체(예: 전기 모터)의 자동 조립 순서 정리가 로봇에 의해 표준 산업 관행이 된 것은 언제부터인가요?,1970년대.
단백질 설계란 무엇인가요?,"""조립 문제입니다."""
검색 알고리즘의 정의는 무엇인가요?,검색 알고리즘은 검색 문제를 입력으로 받아 해결책을 반환합니다.
검색 트리의 노드는 무엇에 해당합니까?,상태 공간의 상태.
검색 트리에서 엣지는 무엇을 나타내나요?,행동.
검색 트리에서 루트는 무엇에 해당합니까?,문제의 초기 상태.
상태 공간과 탐색 트리의 차이는 무엇인가요?,"""상태 공간은 세상에 있는 (무한할 수도 있는) 상태의 집합을 설명합니다."""
검색 트리와 상태 공간의 구분은 무엇인가요?,"""검색 트리는 이러한 상태들 간의 경로를 설명합니다."""
노드를 확장하는 과정은 무엇인가요?,"""우리는 노드를 확장할 수 있습니다."""
"""만약 A가 B의 자식 노드라면""","""A의 B는 무엇인가요?"""
검색의 본질은 무엇인가?,하나의 선택을 지금 진행하고 나머지는 나중으로 미루겠습니다.
